step,time_fs,atom_idx,atom_type,atom_energy,total_energy
30,30.0,14,H,-1.3841502666473389,4.380606174468994
31,31.0,0,C,1.1415507793426514,2.1429221630096436
31,31.0,1,C,-1.5692518949508667,2.1429221630096436
31,31.0,2,C,-0.19311924278736115,2.1429221630096436
31,31.0,3,C,0.6688769459724426,2.1429221630096436
31,31.0,4,C,-0.183610200881958,2.1429221630096436
31,31.0,5,H,-0.2000330239534378,2.1429221630096436
31,31.0,6,H,2.1459426879882812,2.1429221630096436
31,31.0,7,H,-0.9434241056442261,2.1429221630096436
31,31.0,8,H,0.4822831153869629,2.1429221630096436
31,31.0,9,H,0.8329119682312012,2.1429221630096436
31,31.0,10,H,-0.37441208958625793,2.1429221630096436
31,31.0,11,H,-0.17049014568328857,2.1429221630096436
31,31.0,12,H,-2.489774227142334,2.1429221630096436
31,31.0,13,H,1.1175627708435059,2.1429221630096436
31,31.0,14,H,-0.9438122510910034,2.1429221630096436
32,32.0,0,C,1.1328359842300415,6.09217643737793
32,32.0,1,C,-2.5631704330444336,6.09217643737793
32,32.0,2,C,-0.296677827835083,6.09217643737793
32,32.0,3,C,0.9363158345222473,6.09217643737793
32,32.0,4,C,0.1440121829509735,6.09217643737793
32,32.0,5,H,-0.040289148688316345,6.09217643737793
32,32.0,6,H,3.5743088722229004,6.09217643737793
32,32.0,7,H,-1.4052331447601318,6.09217643737793
